Movie_id,genre
36809,Biography
30114,Adventure
37367,Comedy
49473,Comedy
14867,Drama
33832,Action
31722,Drama
25398,Drama
10099,Animation
25281,Comedy
43358,Drama
36798,Drama
10617,Drama
49590,Action
12560,Action
31370,Comedy
48626,Biography
38131,Drama
34191,Biography
20341,Action
18506,Action
38960,Animation
43526,Drama
10015,Drama
11971,Drama
31332,Action
22607,Crime
33884,Action
21508,Crime
30161,Drama
49518,Comedy
12164,Action
13277,Crime
30401,Drama
11289,Action
47403,Biography
21411,Adventure
44738,Crime
21768,Drama
11173,Biography
37652,Animation
48102,Animation
23450,Adventure
23963,Adventure
29611,Drama
46824,Action
42732,Animation
46900,Adventure
45231,Action
47579,Action
26118,Animation
31069,Comedy
41512,Drama
47616,Biography
18458,Action
36478,Action
22767,Drama
30146,Comedy
13316,Comedy
13310,Animation
48554,Biography
29635,Adventure
43350,Adventure
34073,Crime
23417,Biography
12744,Biography
37979,Crime
41592,Action
44253,Action
11928,Action
26438,Action
30154,Drama
36011,Mystery
13627,Action
17294,Comedy
41048,Comedy
47323,Action
28910,Crime
28919,Action
38626,Action
14813,Biography
42419,Animation
34386,Comedy
10454,Action
21538,Biography
39777,Drama
29419,Action
42727,Drama
44160,Action
28130,Crime
22401,Adventure
34429,Drama
41835,Adventure
30250,Adventure
41963,Action
45458,Biography
35832,Biography
47074,Animation
40310,Animation
24887,Adventure
31592,Drama
29441,Adventure
39456,Biography
40287,Biography
32701,Crime
35004,Biography
40832,Animation
44316,Adventure
20420,Comedy
20709,Drama
17545,Action
35939,Comedy
38262,Drama
10023,Animation
27783,Action
42294,Action
32217,Animation
36809,Drama
30114,Biography
37367,Drama
49473,Drama
14867,Romance
33832,Biography
31722,Mystery
25398,Romance
10099,Action
25281,Drama
43358,Thriller
36798,null
10617,History
49590,Adventure
12560,Adventure
31370,Drama
48626,Drama
38131,Sport
34191,Drama
20341,Adventure
18506,Adventure
38960,Adventure
43526,null
10015,Thriller
11971,Western
31332,Adventure
22607,Drama
33884,Adventure
21508,Drama
30161,Mystery
49518,Drama
12164,Drama
13277,Drama
30401,Sci-Fi
11289,Adventure
47403,Drama
21411,Family
44738,Drama
21768,Romance
11173,Drama
37652,Action
48102,Action
23450,Drama
23963,Comedy
29611,null
46824,Adventure
42732,Adventure
46900,Drama
45231,Comedy
47579,Adventure
26118,Adventure
31069,Drama
41512,Musical
47616,Drama
18458,Biography
36478,Adventure
22767,null
30146,Drama
13316,Fantasy
13310,Adventure
48554,Drama
29635,Comedy
43350,Comedy
34073,Drama
23417,Drama
12744,Comedy
37979,Drama
41592,Drama
44253,Adventure
11928,Biography
26438,Comedy
30154,null
36011,Thriller
13627,Crime
17294,Drama
41048,Drama
47323,Adventure
28910,Drama
28919,Adventure
38626,Adventure
14813,Drama
42419,Adventure
34386,Drama
10454,Sci-Fi
21538,Comedy
39777,War
29419,Thriller
42727,Romance
44160,Biography
28130,Drama
22401,Comedy
34429,null
41835,Fantasy
30250,Fantasy
41963,Adventure
45458,Drama
35832,Drama
47074,Action
40310,Adventure
24887,Drama
31592,Romance
29441,Drama
39456,Drama
40287,Drama
32701,Drama
35004,Comedy
40832,Adventure
44316,Drama
20420,Horror
20709,null
17545,Drama
35939,Horror
38262,Music
10023,Adventure
27783,Adventure
42294,Adventure
32217,Adventure
36809,History
30114,Drama
37367,Romance
49473,Fantasy
14867,null
33832,Drama
31722,Sci-Fi
25398,null
10099,Adventure
25281,null
43358,null
36798,null
10617,Thriller
49590,Sci-Fi
12560,Sci-Fi
31370,null
48626,Thriller
38131,null
34191,null
20341,Drama
18506,Comedy
38960,Comedy
43526,null
10015,null
11971,null
31332,Fantasy
22607,null
33884,Sci-Fi
21508,Thriller
30161,Sci-Fi
49518,Romance
12164,War
13277,Mystery
30401,Thriller
11289,Sci-Fi
47403,History
21411,Fantasy
44738,Thriller
21768,Sci-Fi
11173,History
37652,Adventure
48102,Adventure
23450,Family
23963,Drama
29611,null
46824,Sci-Fi
42732,Comedy
46900,Sci-Fi
45231,null
47579,Comedy
26118,Family
31069,Music
41512,Romance
47616,null
18458,Drama
36478,Sci-Fi
22767,null
30146,null
13316,Romance
13310,Comedy
48554,Sport
29635,Drama
43350,Drama
34073,Thriller
23417,null
12744,Drama
37979,Mystery
41592,Sci-Fi
44253,Sci-Fi
11928,Drama
26438,Romance
30154,null
36011,null
13627,Drama
17294,Romance
41048,Music
47323,Thriller
28910,History
28919,Sci-Fi
38626,Fantasy
14813,History
42419,Comedy
34386,Romance
10454,null
21538,Drama
39777,null
29419,null
42727,null
44160,Drama
28130,Mystery
22401,Drama
34429,null
41835,null
30250,null
41963,Mystery
45458,Thriller
35832,null
47074,Adventure
40310,Drama
24887,Sci-Fi
31592,null
29441,Thriller
39456,null
40287,Romance
32701,Thriller
35004,Crime
40832,Comedy
44316,Western
20420,null
20709,null
17545,Sport
35939,null
38262,null
10023,Comedy
27783,Sci-Fi
42294,Sci-Fi
32217,Comedy
